username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
English_Poptart,1279565437420871680,2020-07-04 23:59:08+00:00,0,,,0,0,Long live Lukashenko ,lukashenko,,,,Lukashenko,0.0,0.0,1.0,0.0
BelarusCHuman,1279565388003586048,2020-07-04 23:58:56+00:00,0,,,0,1,One I’m pregnant and two I’m getting married to my girlfriend,,,,,,0.0,0.0,1.0,0.0
BelarusCHuman,1279565201025744896,2020-07-04 23:58:11+00:00,0,,,0,1,Yes for two reasons,,,,,,0.4019,0.0,0.526,0.474
BelarusMiniInfo,1279565151000199169,2020-07-04 23:57:59+00:00,1,,,0,0,,,,,,,0.0,0.0,0.0,0.0
zmicierlabush,1279565019924115456,2020-07-04 23:57:28+00:00,5,,,0,1,Люблю Беларусь)) ,,,Люблю Беларусь,,Люблю Беларусь,0.0,0.0,1.0,0.0
Whirlwind_BELA,1279564864214773760,2020-07-04 23:56:51+00:00,0,,@YoutubeMythic,0,0,"@YoutubeMythic youtube.mythic_ Whirlwind is on the lookout for Ambassadors to join the team. If you're interested in repping us &amp; our electric shakers in your town send us a DM quoting ""Ambassador"" for more info ",,us,youtube.mythic_ Whirlwind,,@YoutubeMythic youtube.mythic_ Whirlwind amp DM Ambassador,0.6369,0.0,0.838,0.162
BelarusCHuman,1279564814264778752,2020-07-04 23:56:39+00:00,0,,,0,1,Oh hi *she is smiling a lot*,,,,,,0.4588,0.0,0.667,0.333
laledevribireyi,1279564770962812928,2020-07-04 23:56:29+00:00,4,,,0,0,5 Türk 20 Rus 5 Belarus + Bizim Temel var mı bir hikaye?,,,Bizim Temel var mı bir,,Türk Rus Belarus Bizim Temel bir,0.0,0.0,1.0,0.0
efixteam,1279564397573140480,2020-07-04 23:55:00+00:00,2,#WATCH #NewYork #Instagram #instagood #Algeria #India #Australia #Germany #Ukraine #Belarus #Indonesia #Bitcoin #Bitcoin #France #YoutubeIndia #youtubevstiktok #YouTuber #Like #LIKEs #folowtrick #Videomesum #romania #Trending #StayHomeStaySafe,,0,0,https://youtu.be/gSEnm0XUZGo let's make crepes #WATCH #NewYork #Instagram #instagood #Algeria #India #Australia #Germany #Ukraine #Belarus #Indonesia #Bitcoin #France #YoutubeIndia #youtubevstiktok #YouTuber #Like #LIKEs #folowtrick #Videomesum #romania #Trending #StayHomeStaySafe,,,,,https://youtu.be/gSEnm0XUZGo Instagram Algeria # India Australia Germany Ukraine Belarus Indonesia Bitcoin # France # YoutubeIndia romania,0.6486,0.0,0.825,0.175
BelarusCHuman,1279564288273928192,2020-07-04 23:54:34+00:00,1,,,0,1,(Open rp) *belarus is looking at something smiling*,,,,,belarus,0.4588,0.0,0.7,0.3
SolClaud2,1279564235694014469,2020-07-04 23:54:21+00:00,0,,,0,0, “FC Ruh Brest - Dinamo Minsk” ,,,,,FC Ruh Brest Dinamo Minsk,0.0,0.0,1.0,0.0
CindieKendrick,1279564152915267584,2020-07-04 23:54:01+00:00,0,,,0,0, “FK Minsk - Belshina Bobruisk” ,,,,,FK Minsk Belshina Bobruisk,0.0,0.0,1.0,0.0
bodhibrian,1279563693416562688,2020-07-04 23:52:12+00:00,73,,,1,1,Belarus lost a quarter of its population under Nazism . That’s why they celebrate victory day each year even this year ,,,,,Belarus Nazism,0.34,0.092,0.76,0.148
lucifersexxxx,1279563492283027456,2020-07-04 23:51:24+00:00,2,,,0,0,"мне резко стало интересно, что у вас на обоях. Вот у меня живой Коля Лукашенко. ",,,,,мне резко стало интересно что у вас на Вот у Коля Лукашенко,0.0,0.0,1.0,0.0
